Bin,Customer ICAO
0.33,GMA
0.33,CPA
0.33,ABR
0.33,AUR
0.33,HKE
0.34,HKE
0.34,HKE
0.34,ASH
0.34,PRJ
0.34,ABX
0.34,VJS
0.34,JAG
0.34,BCY
0.34,BCY
0.34,BCY
0.34,ASH
0.35,SGX
0.35,EIN
0.35,UBA
0.35,AAY
0.35,UBA
0.35,ABX
0.35,NAX
0.36,FWD
0.36,PRI
0.36,SIA
0.36,ABR
1.34,BMA
1.38,TTA
1.39,TTA
1.4,LTC
1.41,AJD
1.42,BMA
1.43,BMA
1.43,BMA
1.43,BMA
1.43,GRM
1.44,FLI
1.44,AJD
1.44,ABR
1.45,SIA
1.45,SAS
1.46,RYN
1.46,EIR
1.46,ASH
1.46,JBU
1.47,FIF
1.47,JBU
1.47,RYN
1.47,LBY
1.48,CFS
1.48,ASH
1.48,SOO
1.49,LUZ
1.49,SOO
1.49,KEM
1.49,CPA
1.49,CPA
1.49,PTI
1.49,HYR
1.49,CPA
1.49,ASH
1.49,CPA
1.49,CPA
1.49,ASH
1.5,CPA
1.5,SAS
1.5,EZE
1.5,EZE
1.5,AAY
1.5,IWA
1.5,NAX
1.5,NAX
1.5,SAS
1.5,NAX
1.5,STM
1.5,ABR
1.5,ASH
1.51,SMJ
1.51,VJS
1.51,DHK
1.51,ELB
1.51,APZ
1.51,JTG
1.51,ASH
1.51,DAV
1.51,KZU
1.52,DAV
1.52,JAG
1.52,JAG
1.52,JAG
1.52,MTN
1.52,ASH
1.52,BMA
1.53,RYN
1.53,BMA
1.53,BMA
1.53,JET
1.53,AHY
1.53,BMA
1.53,BMA
1.53,NAX
1.53,FIF
1.53,CLJ
1.53,BMA
1.53,CPA
1.53,FIF
1.54,FIF
1.54,KEY
1.54,BMA
1.54,BMA
1.54,CPA
1.54,IWA
1.54,PEF
1.54,BCY
1.54,BCY
1.54,BCY
1.54,ASH
1.54,CPA
1.54,DTR
1.55,ASH
1.55,SOO
1.55,DUC
1.55,SAS
1.55,CPA
1.55,FLI
1.55,SAS
1.55,FLG
1.55,JBU
1.55,ABR
1.55,JBU
1.55,NAX
1.55,SAS
1.55,SOO
1.55,NIA
1.55,JBU
1.55,LBY
1.55,RYN
1.55,AHY
1.55,XLS
1.55,AHY
1.56,CPA
1.56,AHY
1.56,KKK
1.56,SAS
1.56,LBE
1.56,SFR
1.56,FSR
1.56,WND
1.56,VJS
1.56,VJS
1.56,EJS
1.56,VJS
1.57,VJS
1.57,VJS
1.57,MEG
1.57,NVD
1.57,CJL
1.57,GMA
1.57,AHY
1.57,SAS
1.57,SOO
1.57,SOO
1.57,ABR
1.58,VJS
1.58,ABR
1.58,SFR
1.58,ASH
1.58,GMA
1.58,CPA
1.58,ABR
1.58,AUR
1.58,HKE
1.59,HKE
1.59,HKE
1.59,ASH
1.59,PRJ
1.59,ABX
1.59,VJS
1.59,JAG
1.59,BCY
1.59,BCY
1.59,BCY
1.59,ASH
1.6,SGX
1.6,EIN
1.6,UBA
1.6,AAY
1.6,UBA
1.6,ABX
1.6,NAX
1.61,FWD
1.61,PRI
1.61,SIA
1.61,ABR
1.61,SIA
1.61,DHX
1.62,SFR
1.62,EZE
1.62,SAS
1.62,EMM
1.62,SRR
1.62,SMJ
1.62,DHK
1.63,JBU
1.63,JBU
1.63,JBU
1.64,JBU
1.64,JBU
1.65,SIA
1.65,GNJ
1.66,EFS
1.66,DPJ
1.66,AHY
1.67,CPA
1.67,NAX
1.67,AVI
1.68,BCY
1.68,BCY
1.68,BCY
1.68,BCY
1.69,BCY
1.69,BCY
1.7,BCY
1.7,JNS
1.7,EFI
1.71,ABR
1.72,NAX
1.72,DTR
1.73,NAX
1.75,NAX
1.75,NAX
1.75,NAX
1.76,NAX
1.76,NAX
1.77,CPA
1.77,BTI
1.78,BTI
1.78,WOW
1.79,BTI
