yaxis,trend1,trend2
0,35,0
0.01,34.99,0
0.02,34.97,0
0.03,34.94,0
0.04,34.9,0
0.05,34.85,0
0.06,34.79,0
0.07,34.72,0
0.08,34.64,0
0.09,34.55,0
0.1,34.45,0
0.11,34.34,0
0.12,34.22,0
0.13,34.09,0
0.14,33.95,0
0.15,33.8,0
0.16,33.64,0
0.17,33.47,0
0.18,33.29,0
0.19,33.1,0
0.2,32.9,0
0.21,32.69,0
0.22,32.47,0
0.23,32.24,0
0.24,32,0
0.25,31.75,0
0.26,31.49,0
0.27,31.22,0
0.28,30.94,0
0.29,30.65,0
0.3,30.35,0
0.31,30.04,0
0.32,29.72,0
0.33,29.39,0
0.34,29.05,0
0.35,28.7,0
0.36,28.34,0
0.37,27.97,0
0.38,27.59,0
0.39,27.2,0
0.4,26.8,0
0.41,26.39,0
0.42,25.97,0
0.43,25.54,0
0.44,25.1,0
0.45,24.65,0
0.46,24.19,0
0.47,23.72,0
0.48,23.24,0
0.49,22.75,0
0.5,22.25,0
0.51,21.74,0
0.52,21.22,0
0.53,20.69,0
0.54,20.15,0
0.55,19.6,0
0.56,19.04,0
0.57,18.47,0
0.58,17.89,0
0.59,17.3,0
0.6,16.7,0
0.61,16.09,0
0.62,15.47,0
0.63,14.84,0
0.64,14.2,0
0.65,13.55,0
0.66,12.89,0
0.67,12.22,0
0.68,11.54,0
0.69,10.85,0
0.7,10.15,0
0.71,9.44,0
0.72,8.72,0
0.73,7.99,0
0.74,7.25,0
0.75,6.5,0
0.76,5.74,0
0.77,4.97,0
0.78,4.19,0
0.79,3.4,0
0.8,2.6,0
0.81,1.79,0
0.82,0.97,0
0.83,0.14,0
0.84,0,0
0.85,0,0
0.86,0,0
0.87,0,0
0.88,0,0
0.89,0,0
0.9,0,0
0.91,0,0
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
1.01,0,0
1.02,0,0
1.03,0,0
1.04,0,0
1.05,0,0
1.06,0,0
1.07,0,0
1.08,0,0
1.09,0,0
1.1,0,0
1.11,0,0
1.12,0,0
1.13,0,0
1.14,0,0
1.15,0,0
1.16,0,0
1.17,0,0
1.18,0,0
1.19,0,0
1.2,0,0
1.21,0,0
1.22,0,0
1.23,0,0
1.24,0,0
1.25,0,0
1.26,0,7.25
1.27,0,7.99
1.28,0,8.72
1.29,0,9.44
1.3,0,10.15
1.31,0,10.85
1.32,0,11.54
1.33,0,12.22
1.34,0,12.89
1.35,0,13.55
1.36,0,14.2
1.37,0,14.84
1.38,0,15.47
1.39,0,16.09
1.4,0,16.7
1.41,0,17.3
1.42,0,17.89
1.43,0,18.47
1.44,0,19.04
1.45,0,19.6
1.46,0,20.15
1.47,0,20.69
1.48,0,21.22
1.49,0,21.74
1.5,0,22.25
1.51,0,22.75
1.52,0,23.24
1.53,0,23.72
1.54,0,24.19
1.55,0,24.65
1.56,0,25.1
1.57,0,25.54
1.58,0,25.97
1.59,0,26.39
1.6,0,26.8
1.61,0,27.2
1.62,0,27.59
1.63,0,27.97
1.64,0,28.34
1.65,0,28.7
1.66,0,29.05
1.67,0,29.39
1.68,0,29.72
1.69,0,30.04
1.7,0,30.35
1.71,0,30.65
1.72,0,30.94
1.73,0,31.22
1.74,0,31.49
1.75,0,31.75
1.76,0,32
1.77,0,32.24
1.78,0,32.47
1.79,0,32.69
1.8,0,32.9
1.81,0,33.1
1.82,0,33.29
1.83,0,33.47
1.84,0,33.64
1.85,0,33.8
1.86,0,33.95
1.87,0,34.09
1.88,0,34.22
1.89,0,34.34
1.9,0,34.45
1.91,0,34.55
1.92,0,34.64
1.93,0,34.72
1.94,0,34.79
1.95,0,34.85
1.96,0,34.9
1.97,0,34.94
1.98,0,34.97
1.99,0,34.99
2,0,35
